year_of_census,1. Sector,2. Sector,3. Sector,delta,age
1882,0.471,0.296,0.233,0.0065,51
1882,0.468,0.299,0.233,0.0068,50
1882,0.465,0.302,0.233,0.0072,49
1882,0.462,0.305,0.233,0.0072,48
1882,0.458,0.309,0.233,0.0071,47
1882,0.451,0.314,0.235,0.0069,46
1882,0.445,0.319,0.236,0.0068,45
1882,0.438,0.324,0.238,0.0067,44
1882,0.432,0.328,0.24,0.0063,43
1882,0.426,0.333,0.241,0.0062,42
1882,0.419,0.338,0.243,0.0062,41
1882,0.413,0.342,0.244,0.0059,40
1882,0.407,0.347,0.247,0.0057,39
1882,0.4,0.351,0.249,0.0056,38
1882,0.394,0.354,0.252,0.0052,37
1882,0.388,0.357,0.255,0.0048,36
1882,0.38,0.36,0.26,0.0045,35
1882,0.374,0.357,0.269,0.0034,34
1882,0.368,0.351,0.28,0.0024,33
1882,0.362,0.344,0.293,0.0022,32
1882,0.356,0.338,0.306,0.0034,31
1882,0.35,0.331,0.32,0.0048,30
1882,0.343,0.323,0.334,0.0065,29
1882,0.337,0.315,0.348,0.008,28
1882,0.331,0.306,0.363,0.0102,27
1882,0.326,0.296,0.378,0.0125,26
1882,0.321,0.288,0.391,0.0146,25
1882,0.322,0.281,0.396,0.0156,24
1882,0.325,0.276,0.399,0.0166,23
1882,0.331,0.27,0.399,0.018,22
1882,0.338,0.263,0.399,0.0187,21
1882,0.345,0.258,0.397,0.0189,20
1882,0.353,0.253,0.394,0.0192,19
1882,0.363,0.247,0.39,0.0193,18
1882,0.381,0.236,0.383,0.02,17
1882,0.458,0.156,0.387,0.0308,16
